977702.453277795342728,988946.785729221999645
1029883.078117815661244,1046887.106066968059167
1097784.526659331750125,1114118.351160125806928
1114332.281084032729268,1114387.243526720907539
1120757.994279833976179,1125263.146738478681073
1137936.273460696684197,1162285.264216614654288
1164282.325722737237811,1179154.133296226151288
7363411.344899755902588,7405585.913480572402477
8463594.022681185975671,8473155.760971115902066
8478252.664836758747697,8481933.261803617700934
8486288.212922628968954,8529252.342903902754188
8571554.822273228317499,8586266.835227327421308
8596221.340356973931193,8606149.903412472456694
11397790.781079148873687,11402574.747854050248861
11417423.417554613202810,11417990.175066374242306
11425201.803734391927719,11426558.089109363034368
11436642.178290968760848,11437086.293752092868090
12605741.198440490290523,12639934.195715224370360
14119952.958127969875932,14125724.267024839296937
14385282.771264592185616,14397520.858380960300565
14398752.610072515904903,14428230.761717081069946
14440957.215748844668269,14445929.501166027039289
14860327.526087433099747,14860916.363300621509552
14871049.644814934581518,14886567.486171383410692
14888610.084683047607541,14896485.560288749635220
